This file contains the Gibbs free energies (in J/mol) for all molecules in this study (including all molecules from validation runs and main models).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T (K),,Water,NH3,Acetlyne/ethyne,HCN,Formaldehyde ,Adenine,Guanine,Cytosine,H2,glycine,alanine,arginine,asparagine,aspartic acid,cysteine,glutamic acid,glutamine,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,beta-alanine,AAH,2AH,Ethanamine,Acrylonitrile
273.16,,-235515.2569,-24091.33315,219981.9474,122578.6971,-106137.5226,318198.5963,75030.29368,-30358.28386,18970.91883,-366840.8199,-367651.3605,-231889.1012,-519101.5821,-716117.8124,-331452.6851,-717807.9615,-521992.7637,-195907.2892,-338251.557,-366840.8199,-331764.6999,-315731.2163,-201300.2946,-302729.9311,-513680.2891,-496948.2521,-106370.8593,-378203.1893,-352564.9493,-285049.2747,141727.2606,154433.5948,29616.8972,179558.1739
283.15,,-236161.4483,-25118.00208,218901.1882,121464.3634,-107399.9314,316108.4797,73013.13977,-32261.40022,18522.62349,-368418.3939,-369194.1666,-235070.9033,-521460.5393,-718361.5493,-333266.1063,-720264.5638,-524502.6129,-198531.0102,-340072.0163,-368418.3939,-334027.0562,-318167.6953,-203409.8945,-304711.4734,-515597.6515,-498669.276,-108607.3433,-380484.4439,-354270.2232,-287277.1166,139879.1106,152205.8248,28376.87565,177330.4039
293.15,,-236834.9412,-26170.58424,217725.8804,120278.5439,-108680.2164,313945.9514,70942.50592,-34202.13054,18004.9941,-369994.9172,-370774.5241,-238331.0486,-523844.5352,-720632.1335,-335139.9055,-722768.3918,-527057.4232,-201218.267,-342022.5237,-369994.9172,-336364.7031,-320698.1718,-205647.4775,-306740.0143,-517539.5869,-500452.1332,-110977.9434,-382862.2637,-356078.0656,-289507.1886,138029.1106,149975.8248,27052.09985,175100.4039
303.15,,-237534.1477,-27248.80524,216471.044,119031.9694,-109981.1109,311711.2556,68800.28829,-36195.75881,17427.85154,-371580.4999,-372399.3417,-241681.0498,-526266.5698,-722942.8778,-337078.0311,-725329.2531,-529668.9576,-203979.9785,-344101.9137,-371580.4999,-338787.9023,-323326.2267,-208015.6574,-308825.1388,-519516.372,-502302.8586,-113486.7383,-385348.2416,-357989.3168,-291737.2606,136179.1106,147745.8248,25646.37837,172870.4039
313.15,,-238258.2173,-28352.79663,215145.6335,117730.9702,-111304.8336,309403.8138,66575.76777,-38251.55647,16797.33112,-373181.7458,-374072.9066,-245128.2375,-528735.0241,-725302.2665,-339082.9625,-727953.5073,-532344.7382,-206822.9813,-346308.8932,-373181.7458,-341302.8326,-326054.0736,-210515.4774,-310972.81,-521534.5964,-504225.0635,-116135.5898,-387949.0473,-360004.0975,-293967.3326,134329.1106,145515.8248,24162.17191,170640.4039
323.15,,-239006.3514,-29482.38233,213755.8208,116380.0316,-112652.6619,307023.6602,64263.22947,-40374.57316,16117.75113,-374802.5193,-375797.3045,-248676.0608,-531254.5472,-727715.0033,-341155.4773,-730644.3848,-535088.6994,-209750.5689,-348641.2612,-374802.5193,-343912.3368,-328881.9783,-213146.1376,-313186.0237,-523597.8576,-506220.1943,-118924.1071,-390667.5751,-362121.3336,-296197.4046,132479.1106,143285.8248,22601.79287,168410.4039
333.15,,-239777.8018,-30637.22485,212306.1042,114982.5237,-114025.3398,304571.1359,61859.82119,-42567.43828,15392.33184,-376445.0972,-377573.3704,-252325.7716,-533827.6436,-730183.6203,-343295.4063,-733403.3339,-537902.7271,-212764.0248,-351096.3766,-376445.0972,-346617.3749,-331809.1404,-215905.855,-315466.0877,-525708.0363,-508288.4838,-121850.6837,-393504.5967,-364339.3271,-298427.4766,130629.1106,141055.8248,20967.4119,166180.4039
343.15,,-240571.875,-31816.90204,210799.9051,113541.0953,-115423.2961,302046.7251,59364.41311,-44831.32089,14623.58329,-378110.7831,-379401.1942,-256077.3197,-536455.5179,-732709.3347,-345502.0336,-736230.7379,-540787.4775,-215863.4357,-353671.3998,-378110.7831,-349417.7964,-334834.1576,-218792.315,-317813.3026,-527865.9752,-510429.456,-124913.0422,-396459.6383,-366656.0535,-300657.5486,128779.1106,138825.8248,19261.066,163950.4039
353.15,,-241387.9335,-33020.95004,209239.9105,112057.9024,-116846.7722,299450.9569,56776.95059,-47166.47504,13813.52893,-379800.2577,-381280.4056,-259929.858,-539138.5553,-735292.5359,-347774.3206,-739126.3214,-543742.8419,-219048.1519,-356363.4233,-379800.2577,-352312.777,-337955.2855,-221802.9212,-320227.3472,-530071.8648,-512642.2103,-128108.537,-399531.4759,-369069.3258,-302887.6206,126929.1106,136595.8248,17484.66623,161720.4039
363.15,,-242225.3916,-34248.88849,207628.2794,110534.7474,-118295.9003,296784.341,54098.0685,-49572.5653,12963.8415,-381513.7868,-383210.3434,-263882.0423,-541876.6088,-737933.0774,-350111.0373,-742089.3911,-546768.2228,-222317.0594,-359169.5442,-381513.7868,-355301.0778,-341170.5892,-224934.9403,-322707.5069,-532325.473,-514925.589,-131434.3312,-402718.4289,-371576.8885,-305117.6926,125079.1106,134365.8248,15640.0046,159490.4039
373.15,,-243083.6854,-35500.20244,205966.8436,108973.2338,-119770.7163,294047.4501,51328.98904,-52048.7664,12075.96596,-383251.2916,-385190.0766,-267932.0452,-544669.0681,-740630.3515,-352510.7405,-745118.8598,-549862.5755,-225668.6092,-362086.7601,-383251.2916,-358381.057,-344477.8881,-228185.4195,-325252.7025,-534626.2038,-517278.1739,-134887.3023,-406018.3663,-374176.3477,-307347.7646,123229.1106,132135.8248,13728.83827,157260.4039
383.15,,-243961.5728,-36773.42166,204259.187,107376.6558,-121270.0708,291244.5277,48475.15452,-54591.0576,11152.21176,-385010.7761,-387216.1859,-272072.9645,-547511.9783,-743380.5008,-354969.0257,-748209.8576,-553020.9239,-229097.1175,-365107.9831,-385010.7761,-361546.6498,-347870.7652,-231546.5721,-327858.4447,-536970.8672,-519695.397,-138458.6017,-409423.9703,-376861.7777,-309577.8366,121379.1106,129905.8248,11755.07336,155030.4039
393.15,,-244859.0938,-38068.77426,202505.0465,105744.8404,-122794.832,288373.1439,45535.35344,-57200.3774,10192.8576,-386793.0982,-389289.3143,-276306.3091,-550406.641,-746184.7613,-357486.5271,-751363.7087,-556244.6616,-232603.6713,-368233.4698,-386793.0982,-364799.1719,-351350.1235,-235019.0937,-330525.8237,-539360.3486,-522177.9928,-142149.3655,-412936.6077,-379633.5014,-311807.9086,119529.1106,127675.8248,9718.562711,152800.4039
403.15,,-245775.7542,-39385.74332,200705.556,104078.9722,-124344.9868,285433.6665,42511.61929,-59875.21586,9198.877876,-388597.6382,-391408.1678,-280629.6375,-553351.777,-749041.8685,-360061.5618,-754578.8023,-559532.1349,-236186.1435,-371460.261,-388597.6382,-368136.504,-354913.5507,-238599.8918,-333253.2818,-541793.5305,-524724.2421,-145956.243,-416553.6259,-382489.0652,-314037.9806,117679.1106,125445.8248,7620.851258,150570.4039
413.15,,-246711.0799,-40723.82411,198861.6674,102380.1377,-125920.5555,282426.3116,39406.11992,-62613.94974,8171.129737,-390423.6665,-393571.3889,-285040.4118,-556345.9859,-751950.4432,-362692.4128,-757853.4426,-562881.5878,-239842.3078,-374785.4383,-390423.6665,-371556.4658,-358558.6141,-242285.8809,-336039.1856,-544269.2021,-527332.3867,-149875.8739,-420272.3098,-385426.0277,-316268.0526,115829.1106,123215.8248,5463.406645,148340.4039
423.15,,-247664.6148,-42082.52638,196974.1617,100649.3386,-127521.6092,279351.1111,36221.13167,-65414.86546,7110.363493,-392270.3563,-395777.5647,-289536.0149,-559387.7654,-754909.0128,-365377.3335,-761185.8634,-566291.1798,-243569.8534,-378206.1211,-392270.3563,-375056.8346,-362282.865,-246073.9853,-338881.8396,-546786.0738,-530000.6377,-153904.8931,-424089.9012,-388441.9592,-318498.1246,113979.1106,120985.8248,3247.619712,146110.4039
433.15,,-248635.9197,-43461.3765,195043.6523,98887.50084,-129148.2875,276207.8749,32959.02411,-68276.17316,6017.228036,-394136.79,-398025.2306,-294113.7592,-562475.5221,-757916.0227,-368114.5487,-764574.2376,-569758.9958,-247366.3901,-381719.4617,-394136.79,-378635.3559,-366083.8403,-249961.1387,-341779.4953,-549342.7851,-532727.1805,-158039.9307,-428003.6099,-391534.4394,-320728.1966,112129.1106,118755.8248,974.8034326,143880.4039
443.15,,-249624.5711,-44859.91961,193070.5801,97095.47964,-130800.8185,272996.1458,29622.25301,-71196.01392,4892.271995,-396021.9596,-400312.8694,-298770.8889,-565607.5757,-760969.8434,-370902.2519,-768016.6804,-573283.0508,-251229.4483,-385322.6398,-396021.9596,-382289.75,-369959.0605,-253944.2802,-344730.354,-551937.9075,-535510.1752,-162277.6085,-432010.6209,-394701.0519,-322958.2686,110279.1106,116525.8248,-1353.809935,141650.4039
453.15,,-250630.1613,-46277.72208,191055.2022,95274.06165,-132479.5399,269715.1464,26213.35986,-74172.46163,3735.94096,-397924.7638,-402638.9071,-303504.5771,-568782.1585,-764068.7709,-373738.6004,-771511.2494,-576861.2894,-255156.4731,-389012.855,-397924.7638,-386017.7153,-373906.0248,-258020.3489,-347732.5666,-554569.9429,-538347.7552,-166614.5342,-436108.096,-397939.3778,-325188.3406,108429.1106,114295.8248,-3737.073714,139420.4039
463.15,,-251652.2973,-47714.37439,188997.5722,93423.96398,-134184.926,266363.7109,22734.97756,-77203.51996,2548.570652,-399843.999,-405001.7048,-308311.9178,-571997.4091,-767211.0236,-376621.7078,-775055.9398,-580491.5801,-259144.8127,-392787.3192,-399843.999,-389816.9285,-377922.2045,-262186.276,-350784.2298,-557237.3182,-541238.0226,-171047.2917,-440293.1736,-401246.9875,-327418.4126,106579.1106,112065.8248,-6173.934161,137190.4039
473.15,,-252690.6012,-49169.49481,186897.5118,91545.83035,-135917.6199,262940.2012,19189.84206,-80287.11453,1330.375599,-401778.3457,-407399.5476,-313189.9127,-575251.3614,-770394.7344,-379549.6328,-778648.6769,-584171.7065,-263191.7009,-396643.2465,-401778.3457,-393685.0421,-382005.0329,-266438.9744,-353883.3784,-559938.3749,-544179.0413,-175572.4297,-444562.9646,-404621.4294,-329648.4846,104729.1106,109835.8248,-8663.44083,134960.4039
483.15,,-253744.7097,-50642.73402,184754.5711,89640.22382,-137678.4733,259442.399,15580.81098,-83421.07985,81.432379,-403726.3497,-409830.6275,-318135.4517,-578541.9276,-773617.9372,-382520.3648,-782287.3034,-587899.3521,-267294.233,-400577.8417,-403726.3497,-397619.6791,-386151.8923,-270775.325,-357027.9737,-562671.3541,-547168.827,-180186.4452,-448914.545,-408060.2169,-331878.5566,102879.1106,107605.8248,-11204.76093,132730.4039
493.15,,-254814.2735,-52133.78121,182567.9743,87707.61567,-139468.5993,255867.3649,11910.89045,-86603.13994,-1198.344004,-405686.3938,-412293.0215,-323145.2859,-581866.8735,-776878.5478,-385531.8043,-785969.5617,-591672.0788,-271449.3319,-404588.2857,-405686.3938,-401618.4255,-390360.0961,-275192.1598,-360215.8864,-565434.3752,-550205.3324,-184885.7625,-453344.945,-411560.8108,-334108.6286,101029.1106,105375.8248,-13797.19882,130500.4039
503.15,,-255898.9575,-53642.37219,180336.5463,85748.36912,-141289.4409,252211.2529,8183.272931,-89830.88076,-2509.23295,-407656.6609,-414784.6606,-328215.99,-585223.7841,-780174.3363,-388581.7364,-789693.0687,-595487.2974,-275653.7026,-408671.7169,-407656.6609,-405678.8175,-394626.8652,-279686.2384,-363444.8738,-568225.4061,-553286.429,-189666.7055,-457851.1334,-415120.5964,-336338.7006,99179.11065,103145.8248,-16440.22265,128270.4039
513.15,,-256998.4398,-55168.30028,178058.6108,83762.71628,-143142.8623,248469.0599,4401.389819,-93101.71158,-3851.75382,-409635.0816,-417303.2884,-333343.9113,-588610.016,-783502.8885,-391667.7951,-793455.2812,-599342.2259,-279903.7687,-412825.2072,-409635.0816,-409798.3254,-398949.2961,-284254.2175,-366712.5466,-571042.2221,-556409.8799,-194525.4596,-462429.9956,-418736.8535,-338568.7726,97329.11065,100915.8248,-19133.50102,126040.4039
523.15,,-258112.4115,-56711.43149,175731.8503,81750.72533,-145031.2758,244634.282,568.985202,-96412.81067,-5226.729764,-411619.2615,-419846.4026,-338525.0972,-592022.6303,-786861.5519,-394787.4141,-797253.4468,-603233.8315,-284195.5862,-417045.7292,-411619.2615,-413974.3288,-403324.317,-288892.609,-370016.3238,-573882.3485,-559573.3032,-199458.0202,-467078.3021,-422406.715,-340798.8446,95479.11065,98685.82481,-21876.95399,123810.4039
533.15,,-259240.5761,-58271.72581,173353.106,79712.2535,-146957.8184,240698.4293,-3309.779314,-99761.04796,-6635.378576,-413606.3788,-422411.1737,-343755.1944,-595458.2977,-790247.3581,-397937.7567,-801084.5351,-607158.7479,-288524.7193,-421330.111,-413606.3788,-418204.0824,-407748.6257,-293597.7214,-373353.368,-576742.9787,-562774.1208,-204460.1203,-471792.6647,-426127.1093,-343028.9166,93629.11065,96455.82481,-24670.82558,121580.4039
543.15,,-260382.6487,-59849.26826,170918.0891,77646.87833,-148926.608,236650.326,-7230.172574,-103142.8728,-8079.444975,-415593.0341,-424994.3254,-349029.3011,-598913.1597,-793656.9106,-401115.6164,-804945.1373,-611113.1557,-292886.0624,-425674.9722,-415593.0341,-422484.6664,-412218.6002,-298365.5757,-376720.4919,-579620.8563,-566009.4835,-209527.1262,-476569.4725,-429894.6779,-345258.9886,91779.11065,94225.82481,-27515.78935,119350.4039
553.15,,-261538.3554,-61444.31529,168420.9482,75553.79429,-150943.1249,232475.0663,-11186.6672,-106554.1462,-9561.398622,-417575.028,-427591.9587,-354341.7488,-602382.6236,-797086.2178,-404317.2668,-808831.3161,-615092.6039,-297273.5747,-430076.6291,-417575.028,-426812.9124,-416730.1676,-303191.7819,-380114.0188,-582512.0983,-569276.1602,-214653.8837,-481404.7976,-433705.6538,-347489.0606,89929.11065,91995.82481,-30413.10631,117120.4039
563.15,,-262707.432,-63057.36672,165853.6006,73431.65215,-153014.8003,228152.4007,-15172.59013,-109989.883,-11084.74101,-419547.0161,-430199.2793,-359685.7651,-605861.0434,-800530.4338,-407538.2334,-812738.3763,-619091.7351,-301679.8708,-434530.9515,-419547.0161,-431185.2905,-421278.6005,-308071.349,-383529.5681,-585411.9231,-572570.3677,-219834.4822,-486294.25,-437555.6742,-349719.1326,88079.11065,89765.82481,-33364.87017,114890.4039
573.15,,-263889.6237,-64689.28251,163204.6514,71278.29853,-155151.9669,223654.1323,-19179.56071,-113443.8361,-12654.5016,-421501.9541,-432810.1598,-365052.9328,-609341.2092,-803983.4436,-410772.9248,-816660.4947,-623103.8436,-306095.5626,-439033.1333,-421501.9541,-435597.7291,-425858.1938,-312998.383,-386961.7104,-588314.2127,-575887.4982,-225061.8782,-491232.7473,-441439.4823,-351949.2046,86229.11065,87535.82481,-36374.40431,112660.4039
583.15,,-265084.6831,-66341.48207,160457.5547,69090.33106,-157369.4747,218939.686,-23196.53862,-116907.7926,-14278.08297,-423430.155,-435416.3971,-370432.2746,-612813.4792,-807437.1583,-414014.0105,-820590.0946,-627120.1277,-310508.1441,-443577.3085,-423430.155,-440045.3121,-430461.7172,-317965.5777,-390403.385,-591210.7702,-579221.6585,-230327.2603,-496214.1267,-445350.4237,-354179.2766,84379.11065,85305.82481,-39446.93907,110430.4039
593.15,,-266292.3697,-68016.3082,157587.2664,66862.28655,-159689.6305,213948.0503,-27208.09986,-120370.2997,-15966.79923,-425317.5787,-438006.3677,-375808.5974,-616264.2088,-810880.2408,-417251.2935,-824516.7154,-631128.3364,-314899.9717,-448155.8594,-425317.5787,-444521.736,-435079.4291,-322963.2976,-393844.8448,-594089.9742,-582564.838,-235618.9053,-501230.4494,-449279.5368,-356409.3486,82529.11065,83075.82481,-42590.84681,108200.4039
603.15,,-267512.4483,-69717.75139,154553.6044,64585.02637,-162148.0264,208581.7925,-31191.03088,-123814.1466,-17738.92892,-427142.4452,-440562.3678,-381159.2245,-619672.6451,-814295.5868,-420469.4864,-828424.7815,-635110.0979,-319244.271,-452758.0606,-427142.4452,-449018.2463,-439697.1329,-327977.7757,-397271.576,-596934.1195,-585905.2689,-240919.9285,-506270.6358,-453213.7619,-358639.4206,80679.11065,80845.82481,-45820.0963,105970.4039
613.15,,-268744.6908,-71453.07142,151286.4201,62242.1227,-164806.5525,202671.3689,-35106.75097,-127210.7633,-19626.53456,-428867.6889,-443054.6933,-386446.7324,-623004.014,-817654.7222,-423643.2634,-832288.6454,-639034.98,-323496.2508,-457367.0758,-428867.6889,-453521.2878,-444291.866,-332987.1202,-400659.6736,-599713.4952,-589223.7853,-246203.2966,-511317.4504,-457131.9663,-360869.4926,78829.11065,78615.82481,-49159.74261,103740.4039
623.15,,-269988.8789,-73237.10941,147646.2495,59800.25322,-167787.9201,195880.4295,-38881.26371,-130505.4012,-21693.56077,-430420.9663,-445425.9671,-391599.7453,-626191.2271,-820902.9811,-426724.1766,-836059.4847,-642844.7825,-327569.5845,-461952.0452,-430420.9663,-458006.3248,-448820.5169,-337950.7825,-403963.6159,-602370.7116,-592484.2033,-251418.6718,-516339.5659,-460994.4455,-363099.5646,76979.11065,76385.82481,-52660.51151,101510.4039
633.15,,-271244.8267,-75107.54502,143285.3241,57175.22426,-171397.5819,187371.3673,-42334.51872,-133564.9201,-24099.76799,-431624.138,-447535.8965,-396445.3084,-629070.4102,-823907.2875,-429594.5682,-839619.1752,-646398.219,-331253.5228,-466440.3026,-431624.138,-462416.1757,-453179.7909,-342772.5506,-407073.2218,-604765.453,-595599.4731,-256446.1706,-521263.7289,-464705.9868,-365329.6366,75129.11065,74155.82481,-56450.36576,99280.4039
643.15,,-272512.3845,-77244.54363,136558.8393,53965.57607,-177078.6512,173185.6763,-44627.99919,-135769.4741,-27601.56677,-431641.3955,-448729.1243,-400180.2263,-630876.6384,-826047.8177,-431707.2183,-842419.7607,-649038.4319,-333564.5717,-470500.578,-431641.3955,-466492.1425,-456893.4937,-347011.6557,-409477.193,-606242.3156,-598167.1924,-260735.327,-525757.7362,-467827.2917,-367559.7086,73279.11065,71925.82481,-61138.69018,97050.4039